1953 1 00 13.98
1953 2 00 11.99
1953 3 00 13.02
1953 4 00 11.26
1953 5 00 12.21
1953 6 00 10.96
1953 7 00 11.48
1953 8 00 9.54
1953 9 00 10.55
1953 10 00 9.89
1953 11 00 15.23
1953 12 00 13.74
1954 1 00 14.97
1954 2 00 15.04
1954 3 00 14.04
1954 4 00 14.53
1954 5 00 12.93
1954 6 00 13.39
1954 7 00 11.46
1954 8 00 9.59
1954 9 00 9.17
1954 10 00 10.86
1954 11 00 11.82
1954 12 00 14.29
1955 1 00 10.99
1955 2 00 13.00
1955 3 00 15.78
1955 4 00 15.89
1955 5 00 13.63
1955 6 00 11.43
1955 7 00 10.53
1955 8 00 10.84
1955 9 00 10.17
1955 10 00 12.41
1955 11 00 15.92
1955 12 00 15.69
1956 1 00 14.09
1956 2 00 14.62
1956 3 00 15.15
1956 4 00 13.65
1956 5 00 12.38
1956 6 00 12.58
1956 7 00 10.65
1956 8 00 9.20
1956 9 00 10.50
1956 10 00 12.73
1956 11 00 10.21
1956 12 00 15.03
1957 1 00 12.95
1957 2 00 14.03
1957 3 00 13.84
1957 4 00 13.01
1957 5 00 10.44
1957 6 00 13.00
1957 7 00 12.16
1957 8 00 9.83
1957 9 00 8.83
1957 10 00 11.72
1957 11 00 10.53
1957 12 00 17.26
1958 1 00 13.28
1958 2 00 11.15
1958 3 00 12.26
1958 4 00 15.10
1958 5 00 10.98
1958 6 00 10.45
1958 7 00 9.76
1958 8 00 11.13
1958 9 00 11.52
1958 10 00 10.22
1958 11 00 13.68
1958 12 00 13.80
1959 1 00 15.58
1959 2 00 14.70
1959 3 00 14.89
1959 4 00 14.09
1959 5 00 12.71
1959 6 00 11.69
1959 7 00 10.26
1959 8 00 12.12
1959 9 00 11.64
1959 10 00 10.46
1959 11 00 13.85
1959 12 00 11.92
1960 1 00 13.87
1960 2 00 15.00
1960 3 00 15.08
1960 4 00 14.16
1960 5 00 13.18
1960 6 00 11.84
1960 7 00 9.83
1960 8 00 11.67
1960 9 00 10.38
1960 10 00 10.63
1960 11 00 12.04
1960 12 00 10.44
1961 1 00 12.07
1961 2 00 16.20
1961 3 00 13.83
1961 4 00 13.28
1961 5 00 10.94
1961 6 00 12.04
1961 7 00 10.60
1961 8 00 10.26
1961 9 00 11.34
1961 10 00 12.98
1961 11 00 12.24
1961 12 00 14.63
1962 1 00 12.44
